target	source	value
ANAESTHESIOLOGY	MEDICINE	18
ANATOMICAL PATHOLOGY	MEDICINE	6
ANTHROPOLOGY	BUSINESS 1	8
ANTHROPOLOGY	ECONOMICS	6
ANTHROPOLOGY	HISTORY	6
ANTHROPOLOGY	HONOURS ANTHROPOLOGY	7
ANTHROPOLOGY	HUMANITIES	6
ANTHROPOLOGY	HUMANITIES 1	12
ANTHROPOLOGY	PSYCHOLOGY	10
ANTHROPOLOGY	SOCIAL SCIENCES	16
ANTHROPOLOGY	SOCIAL SCIENCES 1	58
ART HISTORY	HUMANITIES 1	19
ART HISTORY	SOCIAL SCIENCES 1	8
AUTOMOTIVE & VEHICLE TECHNOLOGY	TECHNOLOGY 1	322
BIOTECHNOLOGY	TECHNOLOGY 1	197
CARDIOLOGY/INTERNAL MEDICINE	CLINICAL INVESTIGATOR PROGRAMME-CARDIOLOGY	6
CARDIOLOGY/INTERNAL MEDICINE	INTERNAL MEDICINE	27
CHEMICAL ENGINEERING	CHEMICAL ENGINEERING CO-OP	31
CHEMICAL ENGINEERING	ENGINEERING 1	89
CHEMICAL ENGINEERING	ENGINEERING 1 CO-OP	6
CHEMICAL ENGINEERING & BIOENGINEERING	ENGINEERING 1	30
CHEMICAL ENGINEERING & BIOENGINEERING	ENGINEERING 1 CO-OP	6
CHEMICAL ENGINEERING & BIOENGINEERING CO-OP	CHEMICAL ENGINEERING & BIOENGINEERING	21
CHEMICAL ENGINEERING & BIOENGINEERING CO-OP	ENGINEERING 1	20
CHEMICAL ENGINEERING & BIOENGINEERING CO-OP	ENGINEERING 1 CO-OP	93
CHEMICAL ENGINEERING & MANAGEMENT	ENGINEERING 1	6
CHEMICAL ENGINEERING & MANAGEMENT CO-OP	CHEMICAL ENGINEERING & MANAGEMENT	8
CHEMICAL ENGINEERING & MANAGEMENT CO-OP	CHEMICAL ENGINEERING CO-OP	6
CHEMICAL ENGINEERING & MANAGEMENT CO-OP	ENGINEERING 1 CO-OP	56
CHEMICAL ENGINEERING & SOCIETY	ENGINEERING 1	10
CHEMICAL ENGINEERING & SOCIETY CO-OP	CHEMICAL ENGINEERING & SOCIETY	6
CHEMICAL ENGINEERING & SOCIETY CO-OP	ENGINEERING 1	6
CHEMICAL ENGINEERING & SOCIETY CO-OP	ENGINEERING 1 CO-OP	20
CHEMICAL ENGINEERING CO-OP	CHEMICAL ENGINEERING	27
CHEMICAL ENGINEERING CO-OP	CHEMICAL ENGINEERING & BIOENGINEERING CO-OP	11
CHEMICAL ENGINEERING CO-OP	ENGINEERING 1	66
CHEMICAL ENGINEERING CO-OP	ENGINEERING 1 CO-OP	221
CIVIL ENGINEERING	CIVIL ENGINEERING CO-OP	6
CIVIL ENGINEERING	CIVIL ENGINEERING-WATER/ENVIRONMENTAL ENGINEERING STREAM	18
CIVIL ENGINEERING	CIVIL ENG-STRUCTURAL/GEOTECHNICAL ENGINEERING STREAM	14
CIVIL ENGINEERING	ENGINEERING 1	97
CIVIL ENGINEERING	ENGINEERING 1 CO-OP	7
CIVIL ENGINEERING & INTERNATIONAL STUDIES CO-OP	ENGINEERING 1 CO-OP	11
CIVIL ENGINEERING & MANAGEMENT	CIVIL ENGIN'G&MANAGEMENT-STRUCTURAL/GEOTECHNICAL ENG STR	18
CIVIL ENGINEERING & MANAGEMENT	ENGINEERING 1	58
CIVIL ENGINEERING & MANAGEMENT CO-OP	CIVIL ENG & MANAGEMENT STRUCTURAL/GEOTECHNICAL ENG STR CO-OP	43
CIVIL ENGINEERING & MANAGEMENT CO-OP	CIVIL ENGINEERING & MANAGEMENT	8
CIVIL ENGINEERING & MANAGEMENT CO-OP	CIVIL ENGINEERING CO-OP	6
CIVIL ENGINEERING & MANAGEMENT CO-OP	ENGINEERING 1	28
CIVIL ENGINEERING & MANAGEMENT CO-OP	ENGINEERING 1 CO-OP	117
CIVIL ENGINEERING & SOCIETY	CIVIL ENG & SOCIETY-STRUCTURAL/GEOTECHNICAL ENG STREAM	10
CIVIL ENGINEERING & SOCIETY	CIVIL ENGINEERING & SOCIETY-WATER/ENVIRONMENTAL ENG STREAM	6
CIVIL ENGINEERING & SOCIETY	ENGINEERING 1	20
CIVIL ENGINEERING & SOCIETY CO-OP	CIVIL ENG & SOCIETY-STRUCTURAL/GEOTECHNICAL ENG STREAM CO-OP	16
CIVIL ENGINEERING & SOCIETY CO-OP	ENGINEERING 1	8
CIVIL ENGINEERING & SOCIETY CO-OP	ENGINEERING 1 CO-OP	32
CIVIL ENGINEERING CO-OP	CIVIL ENG STRUCTURAL/GEOTECHNICAL ENGINEERING STREAM CO-OP	37
CIVIL ENGINEERING CO-OP	CIVIL ENGINEERING	27
CIVIL ENGINEERING CO-OP	CIVIL ENGINEERING-WATER/ENVIRONMENTAL ENG STREAM CO-OP	43
CIVIL ENGINEERING CO-OP	ENGINEERING 1	47
CIVIL ENGINEERING CO-OP	ENGINEERING 1 CO-OP	195
CIVIL ENGIN'G&MANAGEMENT-STRUCTURAL/GEOTECHNICAL ENG STR	CIVIL ENG & MANAGEMENT STRUCTURAL/GEOTECHNICAL ENG STR CO-OP	6
CLASSICS	HONOURS CLASSICS	6
CLASSICS	HUMANITIES 1	38
CLINICAL HEMATOLOGY - ADULT/INTERNAL MEDICINE	INTERNAL MEDICINE	16
CLINICAL IMMUNOLOGY - ADULT/INTERNAL MEDICINE	INTERNAL MEDICINE	6
CLINICAL INVESTIGATOR PROGRAMME-CARDIOLOGY	CARDIOLOGY/INTERNAL MEDICINE	6
CLINICAL INVESTIGATOR PROGRAMME-ORTHOPEDIC SURGERY	ORTHOPEDIC SURGERY	18
CLINICAL INVESTIGATOR PROGRAMME-PLASTIC SURGERY	PLASTIC SURGERY	6
COMMERCE	BUSINESS 1	2887
COMMERCE	ENGINEERING 1	6
COMMERCE	ENGINEERING 1 CO-OP	6
COMMERCE	HONOURS BACHELOR OF COMMERCE	8
COMMERCE	HONOURS ECONOMICS	8
COMMERCE	LIFE SCIENCES 1	6
COMMERCE	SOCIAL SCIENCES 1	58
COMMUNITY MEDICINE	MEDICINE	6
COMPUTER ENGINEERING	COMPUTER ENGINEERING CO-OP	16
COMPUTER ENGINEERING	ENGINEERING 1	46
COMPUTER ENGINEERING & MANAGEMENT CO-OP	ENGINEERING 1 CO-OP	18
COMPUTER ENGINEERING & SOCIETY CO-OP	ENGINEERING 1 CO-OP	6
COMPUTER ENGINEERING CO-OP	COMPUTER ENGINEERING	32
COMPUTER ENGINEERING CO-OP	ELECTRICAL ENGINEERING CO-OP	6
COMPUTER ENGINEERING CO-OP	ENGINEERING 1	31
COMPUTER ENGINEERING CO-OP	ENGINEERING 1 CO-OP	164
COMPUTER SCIENCE 1	COMPUTER SCIENCE 1 CO-OP	8
CRITICAL CARE	INTERNAL MEDICINE	34
DIAGNOSTIC RADIOLOGY	MEDICINE	14
ECONOMICS	BUSINESS 1	210
ECONOMICS	COMMERCE	80
ECONOMICS	ENGINEERING 1	14
ECONOMICS	ENGINEERING 1 CO-OP	15
ECONOMICS	ENVIRONMENTAL SCIENCES	6
ECONOMICS	GEOGRAPHY	6
ECONOMICS	HONOURS BACHELOR OF COMMERCE	15
ECONOMICS	HONOURS ECONOMICS	43
ECONOMICS	HONOURS LIFE SCIENCES	12
ECONOMICS	HUMANITIES	18
ECONOMICS	HUMANITIES 1	16
ECONOMICS	LIFE SCIENCES	9
ECONOMICS	LIFE SCIENCES 1	8
ECONOMICS	MATHEMATICAL SCIENCE	20
ECONOMICS	MATHEMATICS & STATISTICS 1	8
ECONOMICS	PHYSICAL SCIENCES	7
ECONOMICS	POLITICAL SCIENCE	8
ECONOMICS	PSYCHOLOGY	7
ECONOMICS	SCIENCE	6
ECONOMICS	SOCIAL SCIENCES	87
ECONOMICS	SOCIAL SCIENCES 1	167
ECONOMICS	SOCIOLOGY	14
ELECTRICAL & BIOMEDICAL ENGINEERING	ENGINEERING 1	44
ELECTRICAL BIOMEDICAL ENGINEERING CO-OP	ELECTRICAL & BIOMEDICAL ENGINEERING	23
ELECTRICAL BIOMEDICAL ENGINEERING CO-OP	ENGINEERING 1	46
ELECTRICAL BIOMEDICAL ENGINEERING CO-OP	ENGINEERING 1 CO-OP	133
ELECTRICAL ENGINEERING	ELECTRICAL ENGINEERING CO-OP	40
ELECTRICAL ENGINEERING	ENGINEERING 1	78
ELECTRICAL ENGINEERING	ENGINEERING 1 CO-OP	6
ELECTRICAL ENGINEERING & MANAGEMENT	ELECTRICAL ENGINEERING & MANAGEMENT CO-OP	6
ELECTRICAL ENGINEERING & MANAGEMENT CO-OP	ELECTRICAL ENGINEERING & MANAGEMENT	10
ELECTRICAL ENGINEERING & MANAGEMENT CO-OP	ENGINEERING 1	24
ELECTRICAL ENGINEERING & MANAGEMENT CO-OP	ENGINEERING 1 CO-OP	53
ELECTRICAL ENGINEERING & SOCIETY CO-OP	ENGINEERING 1 CO-OP	28
ELECTRICAL ENGINEERING CO-OP	COMPUTER ENGINEERING CO-OP	25
ELECTRICAL ENGINEERING CO-OP	ELECTRICAL BIOMEDICAL ENGINEERING CO-OP	14
ELECTRICAL ENGINEERING CO-OP	ELECTRICAL ENGINEERING	87
ELECTRICAL ENGINEERING CO-OP	ELECTRICAL ENGINEERING & MANAGEMENT CO-OP	11
ELECTRICAL ENGINEERING CO-OP	ELECTRICAL ENGINEERING & SOCIETY CO-OP	7
ELECTRICAL ENGINEERING CO-OP	ENGINEERING 1	90
ELECTRICAL ENGINEERING CO-OP	ENGINEERING 1 CO-OP	304
EMERGENCY MEDICINE	MEDICINE	21
EMERGENCY MEDICINE-FAMILY	FAMILY MEDICINE	11
EMERGENCY MEDICINE-FAMILY MEDICINE/ROMP	FAMILY MEDICINE RURAL - KITCHENER/WATERLOO	6
ENGINEERING 1	ENGINEERING 1 CO-OP	7
